class,mid,local_images_train,num_images_train,num_objects_train,local_images_validation,num_images_validation,num_objects_validation,num_images_total,num_objects_total
Tomato,/m/07j87,300000,985,4777,5000,49,189,1034,4966
Plant,/m/05s2s,300000,50231,185182,5000,2287,4130,52518,189312
Houseplant,/m/03fp41,300000,6307,16140,5000,173,297,6480,16437
Flower,/m/0c9ph5,300000,43917,242538,5000,1393,3364,45310,245902
Flowerpot,/m/0fm3zh,300000,5210,15881,5000,109,234,5319,16115
Tree,/m/07j7r,300000,202569,731214,5000,2163,4722,204732,735936
Vegetable,/m/0f4s2w,300000,3628,12913,5000,260,710,3888,13623
Fruit,/m/02xwb,300000,3701,18393,5000,293,1379,3994,19772
Bell pepper,/m/0jg57,300000,318,679,5000,18,60,336,739
Cucumber,/m/015x4r,300000,336,867,5000,33,78,369,945
